Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
09-01-2020,AARTIIND,EQ,880.7,882.7,930.5,882.7,916.25,920.45,902.44,446795,4.03207E+13,14095,307627,0.6885
10-01-2020,AARTIIND,EQ,920.45,920,924.25,851,868,863.85,879.67,683302,6.0108E+13,28576,256536,0.3754
13-01-2020,AARTIIND,EQ,863.85,855,887.8,829,846.8,847.25,850.83,601068,5.11408E+13,24205,281805,0.4688
14-01-2020,AARTIIND,EQ,847.25,848.1,866.8,848.1,854,854.25,855.31,200401,1.71405E+13,6677,108032,0.5391
15-01-2020,AARTIIND,EQ,854.25,854,880,850,853,851.7,862.65,234189,2.02023E+13,11614,124220,0.5304
16-01-2020,AARTIIND,EQ,851.7,855.8,862.7,852.05,857,858.5,858.74,214478,1.84182E+13,5790,148693,0.6933
17-01-2020,AARTIIND,EQ,858.5,865,875.7,857,859.85,859.75,867.78,195637,1.69771E+13,14109,96932,0.4955
20-01-2020,AARTIIND,EQ,859.75,864.05,872.5,861.35,863.2,863.9,866.47,132561,1.14861E+13,5986,89912,0.6783
21-01-2020,AARTIIND,EQ,863.9,862.5,869.8,855.25,862.5,864.7,863.23,77697,6.70703E+12,4183,38903,0.5007
22-01-2020,AARTIIND,EQ,864.7,869,870.95,854,858,860.7,862.58,66415,5.72885E+12,3056,41999,0.6324
23-01-2020,AARTIIND,EQ,860.7,862.2,870,853.55,869,868.05,862.82,75059,6.47621E+12,5139,49443,0.6587
24-01-2020,AARTIIND,EQ,868.05,872,872.4,841.4,851,850.6,854.1,145499,1.24271E+13,9243,83195,0.5718
27-01-2020,AARTIIND,EQ,850.6,853.9,864,845,860.25,857.75,853.71,80718,6.89094E+12,4997,51676,0.6402
28-01-2020,AARTIIND,EQ,857.75,865,908.4,855,904.15,902.35,890.58,364865,3.2494E+13,16622,206296,0.5654
29-01-2020,AARTIIND,EQ,902.35,911,999,908.3,999,989.15,968.17,1341272,1.29858E+14,46608,396868,0.2959
30-01-2020,AARTIIND,EQ,989.15,995.35,996,945,983.9,975.9,968.67,493352,4.77894E+13,24221,158309,0.3209
31-01-2020,AARTIIND,EQ,975.9,986,999,951,990,985.1,977.86,323424,3.16264E+13,13212,188819,0.5838
01-02-2020,AARTIIND,EQ,985.1,984,1041.95,961,965.6,965.6,999.78,352695,3.52619E+13,19257,110059,0.3121
03-02-2020,AARTIIND,EQ,965.6,959,998.9,955.05,969.5,969.05,977.51,206496,2.01851E+13,16787,83719,0.4054
04-02-2020,AARTIIND,EQ,969.05,982.95,998,956.1,963,963.25,967.68,198175,1.9177E+13,18348,96979,0.4894
05-02-2020,AARTIIND,EQ,963.25,966.85,994,966.85,985,986.05,985.89,176088,1.73603E+13,8094,85970,0.4882
06-02-2020,AARTIIND,EQ,986.05,991.9,998,957,962,960.85,975.2,134128,1.30801E+13,8034,63645,0.4745
07-02-2020,AARTIIND,EQ,960.85,966.85,995.55,966.65,981.05,988.9,981.12,173287,1.70015E+13,11053,107427,0.6199
10-02-2020,AARTIIND,EQ,988.9,997,1025,982,1021,1016.45,1002.09,226273,2.26745E+13,11226,81134,0.3586
11-02-2020,AARTIIND,EQ,1016.45,1022.75,1032.55,1000.75,1009,1009.3,1013.86,133322,1.3517E+13,9190,67371,0.5053
12-02-2020,AARTIIND,EQ,1009.3,1014.6,1015,971.65,983.85,984.65,987.61,118255,1.16789E+13,8923,45016,0.3807
13-02-2020,AARTIIND,EQ,984.65,968,989,926.3,972,970.95,967.66,180964,1.75112E+13,9013,74351,0.4109
14-02-2020,AARTIIND,EQ,970.95,977,1024.95,976.75,1003,1012.8,1009.84,467116,4.71715E+13,31471,172666,0.3696
17-02-2020,AARTIIND,EQ,1012.8,1016.3,1021.45,975.3,993,990.05,1000.11,237417,2.37444E+13,10505,105737,0.4454
18-02-2020,AARTIIND,EQ,990.05,995,1010.05,956,982,996.1,979.37,310879,3.04465E+13,20684,164129,0.528
19-02-2020,AARTIIND,EQ,996.1,995,1008,987.3,1000,995.7,998.25,237913,2.37496E+13,18655,125650,0.5281
20-02-2020,AARTIIND,EQ,995.7,1000.95,1054,998.35,1044,1040.55,1033.45,550752,5.69176E+13,24883,274692,0.4988
24-02-2020,AARTIIND,EQ,1040.55,1039,1071,1014,1028,1022.45,1044.56,270036,2.82069E+13,17697,109729,0.4063
25-02-2020,AARTIIND,EQ,1022.45,1029.4,1036.55,1015,1019.4,1019.95,1022.83,346791,3.54708E+13,27000,234802,0.6771
26-02-2020,AARTIIND,EQ,1019.95,1019.95,1027,995.95,998,999.7,1015.11,342707,3.47886E+13,12168,232615,0.6788
27-02-2020,AARTIIND,EQ,999.7,1006.25,1034,984,985,990.15,1003.2,332913,3.33977E+13,18917,159392,0.4788
28-02-2020,AARTIIND,EQ,990.15,981,996.25,951,980,976.05,979.12,265240,2.59701E+13,21192,140562,0.5299
02-03-2020,AARTIIND,EQ,976.05,986,999.5,956,977.4,971,983.63,306520,3.01501E+13,12384,235580,0.7686
03-03-2020,AARTIIND,EQ,971,995,995,966.3,982.5,983.45,983.08,225422,2.21607E+13,18360,161608,0.7169
04-03-2020,AARTIIND,EQ,983.45,986.25,989.7,957.1,963.75,963.7,970.26,258701,2.51006E+13,13960,204943,0.7922
05-03-2020,AARTIIND,EQ,963.7,974,1000,965,994.35,989.5,980.61,162734,1.59578E+13,7357,100076,0.615
06-03-2020,AARTIIND,EQ,989.5,962,994.45,955,987,985.4,977.1,151767,1.48292E+13,7947,86602,0.5706
09-03-2020,AARTIIND,EQ,985.4,981.25,981.25,931.4,936,942.4,942.6,635426,5.98953E+13,18431,547152,0.8611
11-03-2020,AARTIIND,EQ,942.4,945.3,948.25,911.45,932,931.25,928.6,246124,2.28552E+13,9249,178031,0.7233
12-03-2020,AARTIIND,EQ,931.25,900,900,830,848,846.4,849.78,438380,3.72528E+13,26874,289937,0.6614
13-03-2020,AARTIIND,EQ,846.4,785.2,901,740,874,872.6,855.74,539340,4.61535E+13,27194,381086,0.7066
16-03-2020,AARTIIND,EQ,872.6,860,869.75,799,820,806.45,830.62,388826,3.22966E+13,38091,276239,0.7104
17-03-2020,AARTIIND,EQ,806.45,804,822.5,777.05,792,790.55,809.91,217543,1.76191E+13,21763,133093,0.6118
18-03-2020,AARTIIND,EQ,790.55,809,821.55,769,799.1,790.5,791.63,306636,2.42741E+13,16191,191006,0.6229
19-03-2020,AARTIIND,EQ,790.5,750,793,737.05,746.95,748.45,758.68,267158,2.02689E+13,24971,124703,0.4668
20-03-2020,AARTIIND,EQ,748.45,750,785,745,772,768,759.19,372320,2.8266E+13,23668,220653,0.5926
23-03-2020,AARTIIND,EQ,768,700,739.95,668,670,679.5,702.81,746917,5.2494E+13,17859,650030,0.8703
24-03-2020,AARTIIND,EQ,679.5,739.95,739.95,686.75,700,693.45,699.99,179178,1.25423E+13,7002,120621,0.6732
25-03-2020,AARTIIND,EQ,693.45,680,724.7,680,705,705.2,707.02,140869,9.95973E+12,8546,76505,0.5431
26-03-2020,AARTIIND,EQ,705.2,720,755,709.15,739.45,738.65,738.59,164219,1.2129E+13,10677,79686,0.4852
27-03-2020,AARTIIND,EQ,738.65,756,789.9,735.2,771.95,765.9,761.14,166967,1.27086E+13,15236,94171,0.564
30-03-2020,AARTIIND,EQ,765.9,740,749.5,721,724.9,728.5,735.25,138741,1.0201E+13,6794,100214,0.7223
31-03-2020,AARTIIND,EQ,728.5,734,779.7,725.15,778,766.75,747.91,116243,8.69393E+12,6223,65348,0.5622
01-04-2020,AARTIIND,EQ,766.75,778,819,768.05,778.2,795.8,798.98,453572,3.62395E+13,25749,174839,0.3855
03-04-2020,AARTIIND,EQ,795.8,801.1,804,770.75,793,790.7,791.47,135885,1.07549E+13,18657,63462,0.467
07-04-2020,AARTIIND,EQ,790.7,808,842.7,801,831,830.7,825.55,204415,1.68754E+13,17120,97919,0.479
08-04-2020,AARTIIND,EQ,830.7,839.95,909.8,818,864,854.9,877.12,477805,4.19092E+13,50045,233414,0.4885
09-04-2020,AARTIIND,EQ,854.9,889,919.9,877.55,915,911.3,903.82,299388,2.70592E+13,27830,117649,0.393
